class_id,class_name,class_task,task0_ap,task0_f1,task0_precision,task0_recall,task0_support,task0_predicted_positive,task0_tp,task0_fp,task0_fn,task0_tn,task1_ap,task1_f1,task1_precision,task1_recall,task1_support,task1_predicted_positive,task1_tp,task1_fp,task1_fn,task1_tn,task2_ap,task2_f1,task2_precision,task2_recall,task2_support,task2_predicted_positive,task2_tp,task2_fp,task2_fn,task2_tn,task3_ap,task3_f1,task3_precision,task3_recall,task3_support,task3_predicted_positive,task3_tp,task3_fp,task3_fn,task3_tn,task4_ap,task4_f1,task4_precision,task4_recall,task4_support,task4_predicted_positive,task4_tp,task4_fp,task4_fn,task4_tn,task5_ap,task5_f1,task5_precision,task5_recall,task5_support,task5_predicted_positive,task5_tp,task5_fp,task5_fn,task5_tn,task6_ap,task6_f1,task6_precision,task6_recall,task6_support,task6_predicted_positive,task6_tp,task6_fp,task6_fn,task6_tn,task7_ap,task7_f1,task7_precision,task7_recall,task7_support,task7_predicted_positive,task7_tp,task7_fp,task7_fn,task7_tn
12,Esteem,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1613858867355379,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6343.0,0.1589709394066439,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6453.0,0.1594972123950987,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6465.0,0.1588812377194806,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6478.0,0.1619133014606323,0.0,0.0,0.0,1286,0,0,0,1286,6479
13,Excitement,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7510231949106668,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3337.0,0.7315073006051026,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3447.0,0.6720020011701354,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3459.0,0.591791593341778,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3472.0,0.5696000160078251,0.0,0.0,0.0,4292,0,0,0,4292,3473
14,Fatigue,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0728101951278483,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7269.0,0.0727001436232457,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7281.0,0.0753408997093251,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7294.0,0.0707083100688056,0.0,0.0,0.0,470,0,0,0,470,7295
15,Fear,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0458938489239458,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7478.0,0.0467337073722215,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7490.0,0.0476837179608951,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7503.0,0.0466376085315444,0.0,0.0,0.0,261,0,0,0,261,7504
16,Happiness,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4946064488733876,0.6901920961326902,0.526941465305595,1.0,4078.0,7739.0,4078.0,3661.0,0.0,0.0,0.4997150194998531,0.6894919266210161,0.5261256612050058,1.0,4078.0,7751.0,4078.0,3673.0,0.0,0.0,0.5048398501944978,0.0,0.0,0.0,4078.0,0.0,0.0,0.0,4078.0,3686.0,0.5302612286444061,0.0,0.0,0.0,4078,0,0,0,4078,3687
17,Pain,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0362975555843725,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,7567.0,0.0381219490051629,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,7580.0,0.0404090454585642,0.0,0.0,0.0,184,0,0,0,184,7581
18,Peace,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1973224519473727,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,1315.0,6436.0,0.1948018185334286,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,1315.0,6449.0,0.1900807855647596,0.0,0.0,0.0,1315,0,0,0,1315,6450
19,Pleasure,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2747251325719201,0.4797489457683633,0.3155721842342923,1.0,2446.0,7751.0,2446.0,5305.0,0.0,0.0,0.3224175135808662,0.0,0.0,0.0,2446.0,0.0,0.0,0.0,2446.0,5318.0,0.350790617810465,0.0,0.0,0.0,2446,0,0,0,2446,5319
20,Sadness,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1551770205972908,0.0,0.0,0.0,354.0,0.0,0.0,0.0,354.0,7410.0,0.088583676498544,0.0,0.0,0.0,354,0,0,0,354,7411
21,Sensitivity,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0268323855182351,0.0693770980977247,0.0359350850077279,1.0,279.0,7764.0,279.0,7485.0,0.0,0.0,0.0417242637239583,0.0,0.0,0.0,279,0,0,0,279,7486
22,Suffering,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0408770238951259,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,7476.0,0.057502047516566,0.0,0.0,0.0,288,0,0,0,288,7477
23,Surprise,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0888256972754561,0.0,0.0,0.0,560,0,0,0,560,7205
24,Sympathy,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1312779942504442,0.0,0.0,0.0,1084,0,0,0,1084,6681
25,Yearning,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0886993798520897,0.0,0.0,0.0,692,0,0,0,692,7073
