class_id,class_name,class_task,task0_ap,task0_f1,task0_precision,task0_recall,task0_support,task0_predicted_positive,task0_tp,task0_fp,task0_fn,task0_tn,task1_ap,task1_f1,task1_precision,task1_recall,task1_support,task1_predicted_positive,task1_tp,task1_fp,task1_fn,task1_tn,task2_ap,task2_f1,task2_precision,task2_recall,task2_support,task2_predicted_positive,task2_tp,task2_fp,task2_fn,task2_tn,task3_ap,task3_f1,task3_precision,task3_recall,task3_support,task3_predicted_positive,task3_tp,task3_fp,task3_fn,task3_tn,task4_ap,task4_f1,task4_precision,task4_recall,task4_support,task4_predicted_positive,task4_tp,task4_fp,task4_fn,task4_tn,task5_ap,task5_f1,task5_precision,task5_recall,task5_support,task5_predicted_positive,task5_tp,task5_fp,task5_fn,task5_tn,task6_ap,task6_f1,task6_precision,task6_recall,task6_support,task6_predicted_positive,task6_tp,task6_fp,task6_fn,task6_tn,task7_ap,task7_f1,task7_precision,task7_recall,task7_support,task7_predicted_positive,task7_tp,task7_fp,task7_fn,task7_tn
15,Fear,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0445504000620609,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7478.0,0.0453836900785532,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7490.0,0.046921808188527,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7503.0,0.0455261898771667,0.0,0.0,0.0,261,0,0,0,261,7504
16,Happiness,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4948058339192604,0.6901920961326902,0.526941465305595,1.0,4078.0,7739.0,4078.0,3661.0,0.0,0.0,0.4936038154491573,0.6894919266210161,0.5261256612050058,1.0,4078.0,7751.0,4078.0,3673.0,0.0,0.0,0.4797252017886951,0.0,0.0,0.0,4078.0,0.0,0.0,0.0,4078.0,3686.0,0.5182890512718941,0.0,0.0,0.0,4078,0,0,0,4078,3687
17,Pain,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0410880046135238,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,7567.0,0.0456594653228102,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,7580.0,0.0494400026645256,0.0,0.0,0.0,184,0,0,0,184,7581
18,Peace,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1943280858639837,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,1315.0,6436.0,0.195591303741763,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,1315.0,6449.0,0.1935282153756604,0.0,0.0,0.0,1315,0,0,0,1315,6450
19,Pleasure,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2678318828554872,0.4797489457683633,0.3155721842342923,1.0,2446.0,7751.0,2446.0,5305.0,0.0,0.0,0.3002724786949188,0.0,0.0,0.0,2446.0,0.0,0.0,0.0,2446.0,5318.0,0.3330030834106943,0.0,0.0,0.0,2446,0,0,0,2446,5319
20,Sadness,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1800896288829045,0.0,0.0,0.0,354.0,0.0,0.0,0.0,354.0,7410.0,0.1097847244023389,0.0,0.0,0.0,354,0,0,0,354,7411
21,Sensitivity,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0254047279518451,0.0694202537944762,0.0359582420415001,1.0,279.0,7759.0,279.0,7480.0,0.0,5.0,0.0358734627368699,0.0,0.0,0.0,279,0,0,0,279,7486
22,Suffering,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0618728691539302,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,7476.0,0.074558149838693,0.0,0.0,0.0,288,0,0,0,288,7477
23,Surprise,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084415534514378,0.0,0.0,0.0,560,0,0,0,560,7205
24,Sympathy,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121126642167413,0.0,0.0,0.0,1084,0,0,0,1084,6681
25,Yearning,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0929270177822704,0.0,0.0,0.0,692,0,0,0,692,7073
